Name,Base_URL,APIKey,Model(s),AuthMode,Template,Rate Limit/Cost Info
NoAuth_Pollinations_Text,https://text.pollinations.ai/openai,,https://text.pollinations.ai/models,none,,
NoAuth_Pollinations_Image,https://image.pollinations.ai/prompt/,,https://image.pollinations.ai/models,none,,
OpenRouter,https://openrouter.ai/api/v1/chat/completions,Key_example,https://openrouter.ai/api/frontend/models?max_price=0,bearer,,
ImageRouter,https://api.imagerouter.io/v1/openai/images/generations,Key_example,google/gemini-2.5-flash:free|black-forest-labs/FLUX-1-schnell:free|HiDream-ai/HiDream-I1-Full:free|lodestones/Chroma:free,bearer,,
Pollinations_Text,https://text.pollinations.ai/openai,Key_example,https://text.pollinations.ai/models,bearer,,
Pollinations_Image,https://image.pollinations.ai/prompt/,Key_example,https://image.pollinations.ai/models,bearer,,
Zuki_Journey,https://api.zukijourney.com/v1,Key_example,https://api.zukijourney.com/v1/models,bearer,,
HelixMind,https://helixmind.online/v1,Key_example,gpt-4o-mini|gpt-4o|deepseek-v3-0324|shivaay|gpt-4.1-nano|llama-4-scout|gemini-2.0-flash|FLUX.1-schnell|dall-e-3,bearer,,
VoidAI,https://api.voidai.app/v1,Key_example,https://api.voidai.app/v1/models,bearer,,
MNNAI,https://api.mnnai.ru/v1/,Key_example,https://api.mnnai.ru/v1/models,bearer,,
Z.ai,https://api.z.ai/api/paas/v4/,Key_example,GLM-4.5-Flash,bearer,,
Bigmodel.cn,https://open.bigmodel.cn/api/paas/v4/,Key_example,glm-z1-flash|glm-4-flash-250414|glm-realtime-flash|glm-realtime|glm-realtime-air|glm-4-32b-0414-128k|glm-4.1v-thinking-flash|glm-4-flash|glm-4v-flash|cogview-3-flash|cogvideox-flash|glm-experimental-preview,bearer,,
ElectronHub,https://api.electronhub.ai,Key_example,https://api.electronhub.ai/models,bearer,,
NavyAI,https://api.navy/v1/,Key_example,https://api.navy/v1/models,bearer,,
Github_Models,https://models.github.ai,Key_example,https://models.github.ai/catalog/models,bearer,,
